entity_code,entity_name,industry,region,PD,LGD,EAD,rho,EL,portfolio
A-O7YD44,Company_A_37,Industry A,South America,0.0176423759627502,0.3611655452468417,33719497.892395124,0.435606320349468,214854.5148852667,Portfolio 1
A-DT5C43,Company_A_03,Industry A,Asia,0.0165953522779802,0.4352110109163791,13426357.492499432,0.48157313929933454,96971.59901845567,Portfolio 1
B-CUJ2V2,Company_B_38,Industry B,North America,0.0437620750599563,0.5625085201248153,32401684.59601034,0.5622316687287804,797617.3675031808,Portfolio 2
B-FVUAOK,Company_B_24,Industry B,Europe,0.0248162426031954,0.5189843392837443,12382703.597104952,0.551287352193609,159479.827213459,Portfolio 2
B-0T5M74,Company_B_21,Industry B,Asia,0.0492455131191174,0.5296418000808659,34784899.20182575,0.5496214370248098,907276.5147583686,Portfolio 2
B-O2NB6I,Company_B_30,Industry B,Europe,0.0352247537177965,0.4559347578430257,34693326.39213783,0.5625416940345772,557181.3981999191,Portfolio 2
B-5BIIQF,Company_B_02,Industry B,South America,0.0267414642067079,0.470622107984787,12968140.137972496,0.5535194500618448,163205.65499990666,Portfolio 2
B-KVE4NM,Company_B_22,Industry B,North America,0.0287784188073835,0.448622896022981,6768759.60275202,0.579363373057785,87389.13752885604,Portfolio 2
B-CKUMRG,Company_B_14,Industry B,North America,0.0326507484231694,0.3168593915784876,35359823.88189043,0.48012149407811433,365821.9983944803,Portfolio 2
B-MHTAKQ,Company_B_35,Industry B,South America,0.0327334580699937,0.6212518836831601,15703008.00584986,0.5637423634344465,319332.0129937203,Portfolio 2
B-9KROIO,Company_B_42,Industry B,Unknown,0.0277544532017155,0.5701663648089567,26662073.341073405,0.5280223394495596,421918.13058488286,Portfolio 2
B-6KZVQO,Company_B_32,Industry B,Europe,0.027206283706547,0.4810076158977743,31598840.92952555,0.5298950677336592,413516.0092604999,Portfolio 2
B-4Z0VCO,Company_B_34,Industry B,Asia,0.0337807908633653,0.6847825012956046,9490264.047889208,0.5498103226453037,219533.480541714,Portfolio 2
B-JI444W,Company_B_20,Industry B,North America,0.0338857059003395,0.4746622431051985,32329342.408166677,0.5331792345702223,519993.71612475376,Portfolio 2
B-MUVZTX,Company_B_11,Industry B,North America,0.0326251906128119,0.5619171116975393,30493123.801124316,0.5437609413754431,559019.8538037483,Portfolio 2
B-TB1OZ6,Company_B_31,Industry B,North America,0.0181105376834935,0.3959413947487566,23461017.052539565,0.5737007736935059,168232.1859546202,Portfolio 2
B-JRBLOP,Company_B_43,Industry B,North America,0.0343267474415366,0.397771971835267,31066982.473586395,0.5253297693899004,424195.3518094816,Portfolio 2
B-CWABH5,Company_B_06,Industry B,Asia,0.0307649950103388,0.5928296991568485,33717708.035051145,0.497642761503949,614957.1384963704,Portfolio 2
B-WWOGAM,Company_B_23,Industry B,Asia,0.030429586987347,0.4840351692577983,31227350.15946521,0.5229135005457773,459947.33721453516,Portfolio 2
B-VQT2JW,Company_B_07,Industry B,South America,0.0442446315886971,0.5361921853928844,15074920.661685389,0.5238112230496459,357631.77528697683,Portfolio 2
B-TWSM8S,Company_B_12,Industry B,South America,0.0390654396673085,0.5091520178173208,9124536.531704089,0.5094969648459604,181489.28933188642,Portfolio 2
B-QF6194,Company_B_47,Industry B,Asia,0.0278945246598982,0.470622107984787,13341848.527672105,0.5644747395665414,175148.85222024051,Portfolio 2
B-HVWXAK,Company_B_37,Industry B,South America,0.037445454357923,0.5835807896314338,22600622.79431236,0.5403926193785131,493878.930364297,Portfolio 2
B-3C5B0M,Company_B_49,Industry B,Asia,0.0260411132965198,0.4443808041150874,18828564.31417618,0.5502281576488687,217887.36341941834,Portfolio 2
B-ST9KM6,Company_B_36,Industry B,Asia,0.0383744678486786,0.3384341660679322,32541198.350750968,0.5426606811957683,422620.0608007552,Portfolio 2
B-IOC2XD,Company_B_28,Industry B,Europe,0.0387879212756317,0.4363384716897764,36960381.26215227,0.5306709093000456,625541.970950596,Portfolio 2
