entity_code,entity_name,industry,region,lgd,base_pd_hint,size_bucket,analyst_note,region_note,irrelevant_score
B-JI444W,Company_B_20,Industry B,North America,0.4746622431051985,0.0338857059003395,NORTHAMERICA,manual review,legacy,42
B-0T5M74,Company_B_21,Industry B,Asia,0.5296418000808659,0.0492455131191174,ASIA,stable,satellite,91
B-KVE4NM,Company_B_22,Industry B,North America,0.448622896022981,0.0287784188073835,NORTHAMERICA,stable,,92
B-WWOGAM,Company_B_23,Industry B,Asia,0.4840351692577983,0.030429586987347,ASIA,watchlist,satellite,37
B-FVUAOK,Company_B_24,Industry B,Europe,0.5189843392837443,0.0248162426031954,EUROPE,manual review,,52
B-91X6SZ,Company_B_25,Industry B,Asia,0.470622107984787,0.0274950688500119,ASIA,,legacy,75
B-3PXT8X,Company_B_26,Industry B,Asia,0.3777625687460096,0.0367432528561486,ASIA,,,77
B-WMAEKB,Company_B_27,Industry B,North America,0.4479411587144589,0.0406882090142755,NORTHAMERICA,,satellite,98
B-IOC2XD,Company_B_28,Industry B,Europe,0.4363384716897764,0.0387879212756317,EUROPE,manual review,core,13
B-BN8BND,Company_B_29,Industry B,South America,0.357626556460094,0.0381242550328014,SOUTHAMERICA,manual review,legacy,76
B-O2NB6I,Company_B_30,Industry B,Europe,0.4559347578430257,0.0352247537177965,EUROPE,manual review,satellite,70
B-TB1OZ6,Company_B_31,Industry B,North America,0.3959413947487566,0.0181105376834935,NORTHAMERICA,manual review,,86
B-6KZVQO,Company_B_32,Industry B,Europe,0.4810076158977743,0.027206283706547,EUROPE,stable,legacy,40
B-QZP3T9,Company_B_33,Industry B,North America,0.4662674837931494,0.0340059774991473,NORTHAMERICA,stable,core,99
B-4Z0VCO,Company_B_34,Industry B,Asia,0.6847825012956046,0.0337807908633653,ASIA,,core,16
B-MHTAKQ,Company_B_35,Industry B,South America,0.6212518836831601,0.0327334580699937,SOUTHAMERICA,manual review,,77
B-ST9KM6,Company_B_36,Industry B,Asia,0.3384341660679322,0.0383744678486786,ASIA,watchlist,,76
B-HVWXAK,Company_B_37,Industry B,South America,0.5835807896314338,0.037445454357923,SOUTHAMERICA,watchlist,core,35
B-CUJ2V2,Company_B_38,Industry B,North America,0.5625085201248153,0.0437620750599563,NORTHAMERICA,stable,satellite,83
B-Y6J2QG,Company_B_39,Industry B,Europe,0.6498374440296733,0.0317881165479549,EUROPE,manual review,,56
B-7PFB78,Company_B_40,Industry B,North America,0.4217583666038554,0.0187575079132969,NORTHAMERICA,watchlist,,50
B-JS2LBB,Company_B_41,Industry B,South America,0.4943045458786471,0.0423442153500894,SOUTHAMERICA,watchlist,satellite,28
B-9KROIO,Company_B_42,Industry B,,,,,watchlist,core,55
B-JRBLOP,Company_B_43,Industry B,North America,0.397771971835267,0.0343267474415366,NORTHAMERICA,,legacy,31
B-6R5YMI,Company_B_44,Industry B,North America,0.5767317240461227,0.0270188735661163,NORTHAMERICA,stable,,74
B-GFVBLE,Company_B_45,Industry B,Europe,0.515811908490511,0.0404443717235944,EUROPE,,core,19
B-ZWRIDU,Company_B_46,Industry B,Europe,0.5091561882080035,0.0356932437470504,EUROPE,manual review,legacy,65
B-QF6194,Company_B_47,Industry B,Asia,0.49819304530666003,0.0278945246598982,ASIA,stable,,98
B-CN03FL,Company_B_48,Industry B,North America,0.5442545624204053,0.0437476568693064,NORTHAMERICA,,legacy,38
B-3C5B0M,Company_B_49,Industry B,Asia,0.4443808041150874,0.0260411132965198,ASIA,watchlist,satellite,76
B-3LE6FV,Company_B_50,Industry B,Europe,0.5202797276897779,0.0361482442023391,EUROPE,watchlist,,55
B-TB1OZ6,Company_B_31,Industry B,North America,0.3959413947487566,0.0181105376834935,NORTHAMERICA,manual review,,86
B-MHTAKQ,Company_B_35,Industry B,South America,0.6212518836831601,0.0327334580699937,SOUTHAMERICA,manual review,,77
A-FKUFQE,Company_A_34,Industry A,North America,0.4286890007992836,0.0211608494481312,NORTHAMERICA,watchlist,satellite,63
