date,industry,index_return,industry_clean,date_clean
2023-03-02,IndustryA,0.0344892610776783,Industry A,2023-03-02
2023-03-06,Industry A,-0.0215225598530417,Industry A,2023-03-06
2023-03-07,Industry A,-0.0129147428931849,Industry A,2023-03-07
2023-03-08,IndustryA,0.0208683193039477,Industry A,2023-03-08
2023-03-09,Industry A,0.0047562509673678,Industry A,2023-03-09
2023-03-10,IndustryA,-0.0018744529893212,Industry A,2023-03-10
2023-03-13,Ind. A,-0.0001880454243425,Industry A,2023-03-13
2023-03-14,Industry A,-0.0021520515741401,Industry A,2023-03-14
2023-03-15,Industry A,-0.0166829699872223,Industry A,2023-03-15
2023-03-16,Industry A,-0.0029387428127968,Industry A,2023-03-16
2023-03-17,Industry A,-0.0152335604405054,Industry A,2023-03-17
2023-03-20,Industry A,0.000845030755886,Industry A,2023-03-20
2023-03-21,Industry A,-0.010781495913754,Industry A,2023-03-21
2023-03-22,Industry A,0.0048447047527489,Industry A,2023-03-22
2023-03-23,Industry A,0.0021013766059968,Industry A,2023-03-23
2023-03-24,Industry A,0.0095248755078907,Industry A,2023-03-24
2023-03-27,Industry A,-0.0054157157598915,Industry A,2023-03-27
2023-03-28,IndustryA,0.0058138373949158,Industry A,2023-03-28
2023-03-29,industry a,0.0077528480732264,Industry A,2023-03-29
2023-03-30,Industry A,0.0100251674041693,Industry A,2023-03-30
2023-03-31,Ind. A,0.0096162645935802,Industry A,2023-03-31
2023-04-03,Industry A,-0.0094543195626977,Industry A,2023-04-03
2023-04-04,Industry A,0.0187219142721746,Industry A,2023-04-04
2023-04-05,Ind. A,-0.0203738307459534,Industry A,2023-04-05
2023-04-06,industry a,0.0094624915084379,Industry A,2023-04-06
2023-04-07,Industry A,-0.0059447370318295,Industry A,2023-04-07
2023-04-10,Industry A,-0.0123674457566057,Industry A,2023-04-10
2023-04-11,Industry A,0.0027366377005792,Industry A,2023-04-11
2023-04-12,Industry A,0.0061561164120887,Industry A,2023-04-12
2023-04-13,industry a,0.0025829434481782,Industry A,2023-04-13
14/04/2023,Industry A,-0.0029105111117809,Industry A,2023-04-14
2023-04-17,industry a,0.0014904101606436,Industry A,2023-04-17
2023-04-18,Industry A,0.0094704776909931,Industry A,2023-04-18
19/04/2023,Industry A,0.0007306040348021,Industry A,2023-04-19
2023-04-20,Industry A,0.0010120550967525,Industry A,2023-04-20
2023-04-21,Industry A,0.0025181789577583,Industry A,2023-04-21
2023-04-24,industry a,-0.0060852733424948,Industry A,2023-04-24
2023-04-25,industry a,0.0130215448069315,Industry A,2023-04-25
2023-04-26,Industry A,0.0282541414300659,Industry A,2023-04-26
2023-04-27,Industry A,0.0040890706678405,Industry A,2023-04-27
2023-04-28,IndustryA,-0.0040182968217195,Industry A,2023-04-28
2023-05-01,Industry A,0.0103556487476927,Industry A,2023-05-01
2023-05-02,Industry A,0.0153093781920168,Industry A,2023-05-02
03/05/2023,industry a,-0.003786022358068,Industry A,2023-03-05
2023-05-04,Ind. A,0.0049308517933043,Industry A,2023-05-04
2023-05-05,Industry A,-0.0081311651469768,Industry A,2023-05-05
2023-05-08,Industry A,0.0114388322702814,Industry A,2023-05-08
2023-05-09,Industry A,0.0017283497078778,Industry A,2023-05-09
2023-05-10,Industry A,0.0089779088952912,Industry A,2023-05-10
2023-05-11,Industry A,-0.0127068674337161,Industry A,2023-05-11
2023-05-12,Industry A,0.0074115114163987,Industry A,2023-05-12
2023-05-15,Industry A,-0.0095134447491679,Industry A,2023-05-15
16/05/2023,Industry A,-0.0087263311251476,Industry A,2023-05-16
2023-05-17,Industry A,-0.011127442296664,Industry A,2023-05-17
2023-05-18,Industry A,0.0078010584923281,Industry A,2023-05-18
2023-05-19,Industry A,0.0151665370537094,Industry A,2023-05-19
2023-05-22,Industry A,-0.0203107132469218,Industry A,2023-05-22
2023-05-23,Industry A,-0.0071941010100942,Industry A,2023-05-23
2023-05-24,Industry A,-0.0127309989712445,Industry A,2023-05-24
2023-05-25,Industry A,-0.0143992445834728,Industry A,2023-05-25
2023-05-26,Industry A,0.0008203798571433,Industry A,2023-05-26
2023-05-29,Industry A,0.006292741419659,Industry A,2023-05-29
2023-05-30,Industry A,-0.0042809072418865,Industry A,2023-05-30
2023-05-31,Industry A,0.0030131733977851,Industry A,2023-05-31
2023-06-01,Industry A,-0.0118285089491946,Industry A,2023-06-01
2023-06-02,Industry A,0.0004080155498156,Industry A,2023-06-02
2023-06-05,IndustryA,-0.0054211083747934,Industry A,2023-06-05
2023-06-06,Industry A,0.0067877944889229,Industry A,2023-06-06
2023-06-07,Industry A,-0.0109728818553052,Industry A,2023-06-07
08/06/2023,Industry A,0.0006416659891634,Industry A,2023-08-06
2023-06-09,Industry A,-0.0220757388053734,Industry A,2023-06-09
2023-06-12,Industry A,0.000368864994482,Industry A,2023-06-12
2023-06-13,Industry A,-0.0095606849481601,Industry A,2023-06-13
2023-06-14,Ind. A,-0.0019223103228735,Industry A,2023-06-14
15/06/2023,Industry A,0.0074574989906068,Industry A,2023-06-15
2023-06-16,IndustryA,-0.0033321726823269,Industry A,2023-06-16
2023-06-19,Industry A,0.0054518680824116,Industry A,2023-06-19
2023-06-21,Industry A,0.0119550240938716,Industry A,2023-06-21
2023-06-22,IndustryA,0.0215398508806378,Industry A,2023-06-22
2023-06-23,Ind. A,0.0003667785119901,Industry A,2023-06-23
2023-06-26,Industry A,-0.00097688282239,Industry A,2023-06-26
2023-06-27,Industry A,-0.0176267440387728,Industry A,2023-06-27
28/06/2023,industry a,-0.0090202679145749,Industry A,2023-06-28
2023-06-29,Industry A,-0.0093285225003862,Industry A,2023-06-29
2023-06-30,IndustryA,0.0030115803245227,Industry A,2023-06-30
2023-07-03,Industry A,0.0071513836558511,Industry A,2023-07-03
04/07/2023,Industry A,0.0035274743745301,Industry A,2023-04-07
2023-07-05,IndustryA,-0.0127307359464079,Industry A,2023-07-05
2023-07-06,industry a,0.01919395336128,Industry A,2023-07-06
2023-07-07,Industry A,-0.0123273288576237,Industry A,2023-07-07
2023-07-10,Industry A,-0.0008823089605286,Industry A,2023-07-10
2023-07-11,Industry A,-0.0034596786245572,Industry A,2023-07-11
2023-07-12,Industry A,-0.0094719233059815,Industry A,2023-07-12
2023-07-13,Industry A,0.0115111234507975,Industry A,2023-07-13
2023-07-14,IndustryA,-0.0072462234477839,Industry A,2023-07-14
2023-07-17,IndustryA,-0.0087354802772627,Industry A,2023-07-17
2023-07-18,Industry A,0.0141880650786058,Industry A,2023-07-18
2023-07-19,Ind. A,-0.0008142385781376,Industry A,2023-07-19
20/07/2023,Industry A,-0.028375208081463,Industry A,2023-07-20
2023-07-21,Industry A,-0.0139894068664772,Industry A,2023-07-21
2023-07-24,industry a,0.0031601977953289,Industry A,2023-07-24
2023-07-25,IndustryA,0.0068110925707224,Industry A,2023-07-25
2023-07-26,industry a,-0.0092173509658718,Industry A,2023-07-26
27/07/2023,Industry A,-0.0021397586334374,Industry A,2023-07-27
2023-07-28,Industry A,0.0096723986680364,Industry A,2023-07-28
2023-07-31,Industry A,-0.0023712993106535,Industry A,2023-07-31
2023-08-01,Industry A,-0.0052657749862578,Industry A,2023-08-01
2023-08-02,Industry A,-0.0128853670306057,Industry A,2023-08-02
2023-08-03,Industry A,0.0111007195672076,Industry A,2023-08-03
2023-08-04,Industry A,-0.0365653583957487,Industry A,2023-08-04
2023-08-07,Industry A,0.0228342699026729,Industry A,2023-08-07
2023-08-08,Industry A,-0.0236097186775479,Industry A,2023-08-08
2023-08-09,Industry A,0.000360267098524,Industry A,2023-08-09
2023-08-10,Industry A,0.0035235041026323,Industry A,2023-08-10
2023-08-11,Industry A,0.0045561109725741,Industry A,2023-08-11
2023-08-14,industry a,0.0275291653826731,Industry A,2023-08-14
2023-08-15,Industry A,-0.0187640718141464,Industry A,2023-08-15
2023-08-16,Industry A,0.0138977692172386,Industry A,2023-08-16
2023-08-17,industry a,-0.0049192597967091,Industry A,2023-08-17
2023-08-18,Industry A,0.0113329087946144,Industry A,2023-08-18
2023-08-21,Industry A,-0.0088000208349821,Industry A,2023-08-21
2023-08-22,IndustryA,-0.0034734285815194,Industry A,2023-08-22
2023-08-23,Industry A,-0.0104802489971632,Industry A,2023-08-23
2023-08-24,Industry A,-0.0050163936846776,Industry A,2023-08-24
2023-08-25,Industry A,-0.0057186621460709,Industry A,2023-08-25
2023-08-28,Ind. A,0.0003605097525903,Industry A,2023-08-28
2023-08-29,Industry A,0.0033370449527596,Industry A,2023-08-29
2023-08-30,Industry A,0.0035508986472027,Industry A,2023-08-30
2023-08-31,IndustryA,0.0008712722015888,Industry A,2023-08-31
2023-09-01,Industry A,0.0045959952038005,Industry A,2023-09-01
2023-09-04,industry a,0.0050597878270961,Industry A,2023-09-04
2023-09-05,Ind. A,-0.0030447633051453,Industry A,2023-09-05
2023-09-06,Industry A,0.0152933474104333,Industry A,2023-09-06
2023-09-07,Industry A,0.0003405970126323,Industry A,2023-09-07
2023-09-08,Industry A,0.0064004338237815,Industry A,2023-09-08
2023-09-11,Industry A,0.0178392467712947,Industry A,2023-09-11
2023-09-12,Industry A,0.0121960882384638,Industry A,2023-09-12
2023-09-13,IndustryA,-0.0184300896796006,Industry A,2023-09-13
2023-09-14,industry a,-0.0002032412794737,Industry A,2023-09-14
2023-09-15,IndustryA,0.0012159353687931,Industry A,2023-09-15
2023-09-18,Industry A,0.0102143065684286,Industry A,2023-09-18
2023-09-19,Ind. A,0.0103272426986402,Industry A,2023-09-19
2023-09-20,industry a,-0.0020808600748089,Industry A,2023-09-20
2023-09-21,Ind. A,-0.0020630335960721,Industry A,2023-09-21
22/09/2023,Industry A,-0.0114376047413808,Industry A,2023-09-22
2023-09-25,Industry A,-0.0081012369160277,Industry A,2023-09-25
2023-09-26,Industry A,0.0091934841848787,Industry A,2023-09-26
2023-09-27,Industry A,0.0076592157574516,Industry A,2023-09-27
2023-09-28,Industry A,0.00257067539033,Industry A,2023-09-28
2023-09-29,Ind. A,-0.0260373037450068,Industry A,2023-09-29
2023-10-02,Industry A,0.0040878830752657,Industry A,2023-10-02
2023-10-03,industry a,0.0190560297929884,Industry A,2023-10-03
2023-10-04,Industry A,-0.0117762831195265,Industry A,2023-10-04
2023-10-05,Industry A,0.0059640115505765,Industry A,2023-10-05
2023-10-06,Industry A,0.0179611904445669,Industry A,2023-10-06
2023-10-09,IndustryA,-0.0044534554665914,Industry A,2023-10-09
2023-10-10,Industry A,0.0096668946005988,Industry A,2023-10-10
2023-10-11,Industry A,-0.0026612362117636,Industry A,2023-10-11
2023-10-12,Industry A,0.0193149450694736,Industry A,2023-10-12
2023-10-13,Industry A,-0.0290709956628713,Industry A,2023-10-13
2023-10-16,Industry A,-0.0081882622372471,Industry A,2023-10-16
2023-10-17,industry a,-0.0008404564101054,Industry A,2023-10-17
2023-10-18,Industry A,0.0096840869814164,Industry A,2023-10-18
2023-10-19,Industry A,-0.0060041706994523,Industry A,2023-10-19
2023-10-20,IndustryA,-0.0071690173041324,Industry A,2023-10-20
2023-10-23,Industry A,0.0082226641190808,Industry A,2023-10-23
2023-10-24,Industry A,-0.000339942491716,Industry A,2023-10-24
2023-10-25,Industry A,0.0086716369603857,Industry A,2023-10-25
2023-10-26,Industry A,0.0039055913221779,Industry A,2023-10-26
2023-10-27,Industry A,-0.0137180714292035,Industry A,2023-10-27
30/10/2023,Industry A,-0.0019995706771271,Industry A,2023-10-30
2023-10-31,Industry A,0.0072644393385818,Industry A,2023-10-31
2023-11-01,Industry A,0.0119622904600618,Industry A,2023-11-01
2023-11-02,Industry A,-0.0081706864791556,Industry A,2023-11-02
2023-11-03,Industry A,-0.0195699555885692,Industry A,2023-11-03
2023-11-06,industry a,-0.0040550505670162,Industry A,2023-11-06
2023-11-07,Industry A,-0.0062285784732328,Industry A,2023-11-07
2023-11-08,Industry A,0.0191081311060479,Industry A,2023-11-08
2023-11-09,Industry A,-0.0170962095968086,Industry A,2023-11-09
2023-11-10,Industry A,0.0164811578895675,Industry A,2023-11-10
2023-11-13,Industry A,-0.0073850298737069,Industry A,2023-11-13
14/11/2023,Industry A,-0.0277251975633437,Industry A,2023-11-14
2023-11-15,Industry A,-0.0031688008102085,Industry A,2023-11-15
2023-11-16,Industry A,-0.0050287610580008,Industry A,2023-11-16
2023-11-17,Industry A,0.0138054712707681,Industry A,2023-11-17
2023-11-20,Industry A,-0.0067221816777797,Industry A,2023-11-20
2023-11-21,IndustryA,0.0220646626561141,Industry A,2023-11-21
2023-11-22,Industry A,0.0125309728466458,Industry A,2023-11-22
2023-11-23,Industry A,0.0014296684052378,Industry A,2023-11-23
2023-11-24,IndustryA,-0.0112961392084147,Industry A,2023-11-24
2023-11-27,Industry A,0.003516972371045,Industry A,2023-11-27
2023-11-28,Industry A,-0.001356834438262,Industry A,2023-11-28
2023-11-29,Industry A,0.0070540887954925,Industry A,2023-11-29
30/11/2023,IndustryA,0.009076310100955,Industry A,2023-11-30
01/12/2023,Industry A,0.0314435155850049,Industry A,2023-01-12
2023-12-05,Industry A,0.0100292500269456,Industry A,2023-12-05
2023-12-06,industry a,-0.0046379521231605,Industry A,2023-12-06
2023-12-07,Industry A,-0.0097310108888159,Industry A,2023-12-07
2023-12-08,industry a,0.0012751132084212,Industry A,2023-12-08
2023-12-11,Industry A,-0.0070551833941544,Industry A,2023-12-11
2023-12-12,Industry A,-0.0227991696102185,Industry A,2023-12-12
2023-12-13,Industry A,-0.0155580126183992,Industry A,2023-12-13
2023-12-14,Industry A,-0.0140665618431712,Industry A,2023-12-14
2023-12-15,Industry A,-0.0090890306197845,Industry A,2023-12-15
2023-12-18,IndustryA,0.0160700519782774,Industry A,2023-12-18
2023-12-19,Industry A,0.000393552983312,Industry A,2023-12-19
2023-12-20,Industry A,-0.0049987918794762,Industry A,2023-12-20
2023-12-21,Industry A,0.0072100288802274,Industry A,2023-12-21
2023-12-22,IndustryA,0.0006377690673707,Industry A,2023-12-22
2023-12-25,Ind. A,0.0027405654100471,Industry A,2023-12-25
2023-12-26,Ind. A,-0.0031608235225705,Industry A,2023-12-26
2023-12-27,Industry A,-0.0103748613692326,Industry A,2023-12-27
28/12/2023,Industry A,-0.0002298969599914,Industry A,2023-12-28
29/12/2023,industry a,-0.0011718660160569,Industry A,2023-12-29
2024-01-01,Industry A,0.0103755049215643,Industry A,2024-01-01
02/01/2024,industry a,0.0001729970659501,Industry A,2024-02-01
2024-01-03,Industry A,-0.0082212033552013,Industry A,2024-01-03
04/01/2024,Industry A,-0.0089438982859238,Industry A,2024-04-01
2024-01-05,Industry A,0.0267276905287188,Industry A,2024-01-05
2024-01-08,Industry A,-0.0261105218896889,Industry A,2024-01-08
2024-01-09,Industry A,0.0149825016114716,Industry A,2024-01-09
11/01/2024,industry a,0.006013441270981,Industry A,2024-11-01
12/01/2024,Industry A,0.0112330841197638,Industry A,2024-12-01
2024-01-15,Industry A,0.004505553006875,Industry A,2024-01-15
2024-01-16,Industry A,-0.0034855248770294,Industry A,2024-01-16
2024-01-17,IndustryA,0.0206812116850276,Industry A,2024-01-17
2024-01-18,Ind. A,0.0098585667903485,Industry A,2024-01-18
2024-01-19,Industry A,-0.0068381878110395,Industry A,2024-01-19
2024-01-22,Industry A,0.0174319282132125,Industry A,2024-01-22
2024-01-23,Industry A,-0.0203376779167655,Industry A,2024-01-23
2024-01-24,Industry A,0.0215875255124565,Industry A,2024-01-24
2024-01-25,Industry A,-0.0214057443008101,Industry A,2024-01-25
2024-01-26,Industry A,0.0083887101177535,Industry A,2024-01-26
2024-01-29,Industry A,-0.0042570128329848,Industry A,2024-01-29
30/01/2024,Ind. A,-0.0063038008027143,Industry A,2024-01-30
2024-01-31,Ind. A,0.006706343428691,Industry A,2024-01-31
2024-02-01,Ind. A,0.0019461776640271,Industry A,2024-02-01
2024-02-02,Industry A,0.0127476814425111,Industry A,2024-02-02
2024-02-05,Industry A,-0.0192631015219625,Industry A,2024-02-05
2024-02-06,Industry A,0.0077748599368057,Industry A,2024-02-06
2024-02-07,Industry A,0.0050927404354164,Industry A,2024-02-07
2024-02-08,Industry A,0.0096497924526263,Industry A,2024-02-08
2024-02-09,Industry A,-0.0056453627297821,Industry A,2024-02-09
2024-02-12,Industry A,0.0244476763853099,Industry A,2024-02-12
2024-02-13,Industry A,0.0061974572515495,Industry A,2024-02-13
2024-02-14,Industry A,-0.0010988000598756,Industry A,2024-02-14
15/02/2024,Industry A,-0.0248203395601585,Industry A,2024-02-15
2024-02-16,Industry A,-0.0043604567463063,Industry A,2024-02-16
2024-02-19,Industry A,0.010274817089291,Industry A,2024-02-19
2024-02-20,Industry A,0.0180814921075588,Industry A,2024-02-20
2024-02-21,Industry A,0.0007526976629253,Industry A,2024-02-21
2024-02-23,Industry A,-0.0110984512267576,Industry A,2024-02-23
2024-02-26,Industry A,0.0054741937314971,Industry A,2024-02-26
2024-02-27,Industry A,0.0058323279154492,Industry A,2024-02-27
2024-02-28,Industry A,0.0078792339896094,Industry A,2024-02-28
2024-02-29,IndustryA,0.0023949767615444,Industry A,2024-02-29
2024-03-01,Industry A,0.0047752566809717,Industry A,2024-03-01
2024-03-04,Industry A,-0.0113653022468126,Industry A,2024-03-04
2024-03-05,Industry A,0.0166681081143982,Industry A,2024-03-05
2024-03-06,IndustryA,0.0118159856546463,Industry A,2024-03-06
2024-03-07,Industry A,0.0042777028938851,Industry A,2024-03-07
2024-03-08,Industry A,0.0121322056174918,Industry A,2024-03-08
2024-03-11,Industry A,0.0171219439436232,Industry A,2024-03-11
2024-03-12,Ind. A,0.0076902112696343,Industry A,2024-03-12
13/03/2024,Industry A,0.026103908128458,Industry A,2024-03-13
2024-03-14,Industry A,0.0087559691041411,Industry A,2024-03-14
15/03/2024,Industry A,-0.0096724242769492,Industry A,2024-03-15
2024-03-18,Industry A,0.0036426934195112,Industry A,2024-03-18
2024-03-19,industry a,0.0126594791478058,Industry A,2024-03-19
2024-03-20,Industry A,0.0171358038305205,Industry A,2024-03-20
2024-03-21,IndustryA,0.0026564802322463,Industry A,2024-03-21
2024-03-22,Industry A,-0.0105699156502559,Industry A,2024-03-22
2024-03-25,Industry A,-0.0021579810447772,Industry A,2024-03-25
2024-03-26,Industry A,-0.0157705270313618,Industry A,2024-03-26
2024-03-27,industry a,0.0100846511245255,Industry A,2024-03-27
2024-03-28,industry a,-0.0045067121550433,Industry A,2024-03-28
2024-03-29,Ind. A,-0.0079477517722237,Industry A,2024-03-29
2024-04-01,Ind. A,0.0113645342914747,Industry A,2024-04-01
2024-04-02,Industry A,0.0200885134427899,Industry A,2024-04-02
2024-04-03,Ind. A,-0.007997101619022,Industry A,2024-04-03
2024-04-04,Industry A,0.002737521828367,Industry A,2024-04-04
2024-04-05,IndustryA,-0.0016615975741671,Industry A,2024-04-05
2024-04-08,industry a,0.0177944338355081,Industry A,2024-04-08
2024-04-09,Industry A,-0.0003092057209492,Industry A,2024-04-09
2024-04-10,Industry A,-0.0116348813261991,Industry A,2024-04-10
2024-04-11,Industry A,0.0002638743254204,Industry A,2024-04-11
2024-04-12,Industry A,0.0146891003397344,Industry A,2024-04-12
2024-04-15,Industry A,-0.0023674377263297,Industry A,2024-04-15
2024-04-16,Industry A,-0.0068222613871241,Industry A,2024-04-16
2024-04-17,industry a,-0.0008548778484305,Industry A,2024-04-17
2024-04-18,Industry A,-0.0112820405545557,Industry A,2024-04-18
2024-04-19,Industry A,-0.0016770577497195,Industry A,2024-04-19
2024-04-22,Industry A,-0.0059636351285789,Industry A,2024-04-22
2024-04-23,Ind. A,0.0289121206762188,Industry A,2024-04-23
2024-04-24,Industry A,-0.0225737739987973,Industry A,2024-04-24
2024-04-25,Industry A,-0.0097217092647168,Industry A,2024-04-25
2024-04-26,Ind. A,-0.006831018525419,Industry A,2024-04-26
2024-04-29,Industry A,-0.0112064344862289,Industry A,2024-04-29
2024-04-30,IndustryA,0.0055977839186784,Industry A,2024-04-30
2024-05-01,Industry A,-0.0082010083557506,Industry A,2024-05-01
2024-05-02,industry a,-0.0169457852107153,Industry A,2024-05-02
2024-05-03,Industry A,0.0016255584788348,Industry A,2024-05-03
06/05/2024,Ind. A,-0.0030565179151806,Industry A,2024-06-05
2024-05-07,Industry A,-0.0076689215491877,Industry A,2024-05-07
2024-05-08,Ind. A,0.0174317374976213,Industry A,2024-05-08
2024-05-09,Industry A,0.0060223787777324,Industry A,2024-05-09
10/05/2024,Ind. A,0.004585848140462,Industry A,2024-10-05
2024-05-13,Industry A,0.0063039145162171,Industry A,2024-05-13
2024-05-15,industry a,-0.0024591540399772,Industry A,2024-05-15
2024-05-16,IndustryA,-0.0080813864938233,Industry A,2024-05-16
2024-05-17,industry a,0.0018940282259916,Industry A,2024-05-17
2024-05-20,Ind. A,-0.0026772521547231,Industry A,2024-05-20
2024-05-21,Industry A,-0.0227171548689553,Industry A,2024-05-21
2024-05-22,Industry A,-0.0121843869419389,Industry A,2024-05-22
2024-05-23,industry a,-0.0041886014277545,Industry A,2024-05-23
2024-05-24,Industry A,0.0116521799491003,Industry A,2024-05-24
2024-05-27,Industry A,0.0019475637721266,Industry A,2024-05-27
2024-05-28,IndustryA,-0.0101437882637604,Industry A,2024-05-28
2024-05-29,Industry A,-0.0131445310523104,Industry A,2024-05-29
2024-05-30,industry a,0.0144337100254259,Industry A,2024-05-30
2024-05-31,IndustryA,-0.0019145567075437,Industry A,2024-05-31
2024-06-03,Industry A,-0.034138220441208,Industry A,2024-06-03
2024-06-04,Industry A,-0.0011602479740776,Industry A,2024-06-04
05/06/2024,Industry A,0.0086783901547739,Industry A,2024-05-06
2024-06-06,Industry A,-0.0134824822798138,Industry A,2024-06-06
2024-06-07,Industry A,0.0010106658089698,Industry A,2024-06-07
2024-06-10,industry a,0.0021430324074208,Industry A,2024-06-10
2024-06-11,Industry A,-0.0128324146364097,Industry A,2024-06-11
2024-06-12,IndustryA,0.0156791563834188,Industry A,2024-06-12
2024-06-13,industry a,0.0023557601693606,Industry A,2024-06-13
2024-06-14,industry a,-0.0042485246136772,Industry A,2024-06-14
2024-06-17,Industry A,-0.0018346085884053,Industry A,2024-06-17
2024-06-18,Industry A,-0.0149731643341265,Industry A,2024-06-18
2024-06-19,Ind. A,-0.015423214841962,Industry A,2024-06-19
2024-06-20,Industry A,-0.0053480764662554,Industry A,2024-06-20
2024-06-21,Industry A,-0.0046333952932748,Industry A,2024-06-21
2024-06-24,Industry A,-0.0026218077593732,Industry A,2024-06-24
2024-06-25,IndustryA,0.016904851051691,Industry A,2024-06-25
2024-06-26,Industry A,0.0079708892367402,Industry A,2024-06-26
2024-06-28,Industry A,0.0141211141597226,Industry A,2024-06-28
2024-07-01,Ind. A,-0.0054383829906348,Industry A,2024-07-01
2024-07-02,Ind. A,0.0091971866438974,Industry A,2024-07-02
2024-07-03,Industry A,-0.0045236496555645,Industry A,2024-07-03
2024-07-04,IndustryA,0.0015665023297041,Industry A,2024-07-04
05/07/2024,Ind. A,-0.0141710594684098,Industry A,2024-05-07
2024-07-08,Industry A,0.0041785003416043,Industry A,2024-07-08
2024-07-09,industry a,0.010663705996628,Industry A,2024-07-09
2024-07-10,Industry A,-0.0192035128019793,Industry A,2024-07-10
2024-07-11,Industry A,0.010869527810324,Industry A,2024-07-11
2024-07-12,IndustryA,-0.0081285198862917,Industry A,2024-07-12
2024-07-15,Industry A,0.0212317706546112,Industry A,2024-07-15
2024-07-16,industry a,0.0094387517752971,Industry A,2024-07-16
2024-07-17,Industry A,0.0071205003385208,Industry A,2024-07-17
2024-07-18,IndustryA,-0.0017651692494664,Industry A,2024-07-18
2024-07-19,Ind. A,0.03181688905298,Industry A,2024-07-19
2024-07-22,Industry A,-0.0053656052962172,Industry A,2024-07-22
2024-07-23,Industry A,-0.0119304270142758,Industry A,2024-07-23
2024-07-24,Industry A,-0.0077328291496856,Industry A,2024-07-24
2024-07-25,Industry A,0.0129917315569176,Industry A,2024-07-25
2024-07-26,Industry A,0.0013336399018356,Industry A,2024-07-26
2024-07-30,Industry A,-0.0051938011572364,Industry A,2024-07-30
2024-07-31,Industry A,-0.0011024395922218,Industry A,2024-07-31
2024-08-01,Industry A,-0.0059955711623381,Industry A,2024-08-01
2024-08-02,Industry A,0.0083072795979737,Industry A,2024-08-02
2024-08-05,Industry A,-0.0028902543869174,Industry A,2024-08-05
2024-08-06,Industry A,-0.0075227334994077,Industry A,2024-08-06
2024-08-07,Ind. A,0.0118376538487009,Industry A,2024-08-07
2024-08-08,Industry A,-0.0115829181514096,Industry A,2024-08-08
2024-08-09,Industry A,0.0015044258337609,Industry A,2024-08-09
12/08/2024,Industry A,-0.0227867819736279,Industry A,2024-12-08
2024-08-13,Industry A,-0.0163125199788777,Industry A,2024-08-13
2024-08-14,Industry A,-0.0041731410167708,Industry A,2024-08-14
2024-08-15,Industry A,-0.0062055512759105,Industry A,2024-08-15
2024-08-16,Industry A,-0.0062230667995669,Industry A,2024-08-16
