portfolio,entity_code_clean,entity_name,industry_clean,region_clean,size_bucket,EAD_clean,LGD_clean,PD_clean,historical_pd,booking_date_clean
Portfolio 3,B-6KZVQO,Company_B_32,Industry B,Europe,Small,19429050.87624263,0.4810076158977743,0.027206283706547,0.15,2025-03-19
Portfolio 3,B-7PFB78,Company_B_40,Industry B,North America,Small,5019884.524063055,0.4217583666038554,0.0187575079132969,0.0,2025-05-07
Portfolio 3,B-9KROIO,Company_B_42,Industry B,,Small,30671325.49799425,0.5701663648089567,0.0277544532017155,0.05,2025-11-12
Portfolio 3,B-AAFB3V,Company_B_03,Industry B,South America,Small,27454646.40875233,0.3517814602557179,0.0186646871610618,0.0,2025-11-05
Portfolio 3,B-BN8BND,Company_B_29,Industry B,South America,Large,11330955.06127316,0.357626556460094,0.0381242550328014,0.05,2025-12-31
Portfolio 3,B-FVUAOK,Company_B_24,Industry B,Europe,Mid,6125218.073099757,0.5189843392837443,0.0248162426031954,0.05,2025-05-28
Portfolio 3,B-GFVBLE,Company_B_45,Industry B,Europe,Small,36702714.851999104,0.515811908490511,0.0404443717235944,0.05,2025-06-11
Portfolio 3,B-I67BWI,Company_B_19,Industry B,Europe,Mid,24949401.62579115,0.4461228682382256,0.0430346886251349,0.0,2025-12-10
Portfolio 3,B-IOC2XD,Company_B_28,Industry B,Europe,Large,22471797.889777817,0.4363384716897764,0.0387879212756317,0.05,2025-08-20
Portfolio 3,B-J2ILS4,Company_B_13,Industry B,Asia,Large,31923490.34543775,0.5612485910550065,0.039659096654194,0.05,2025-09-24
Portfolio 3,B-JI444W,Company_B_20,Industry B,North America,Small,12592064.298202593,0.4746622431051985,0.0338857059003395,0.0,2025-02-05
Portfolio 3,B-JRBLOP,Company_B_43,Industry B,North America,Mid,16418342.675741987,0.397771971835267,0.0343267474415366,0.0,2025-09-03
Portfolio 3,B-JS2LBB,Company_B_41,Industry B,South America,Mid,21391218.714301582,0.4943045458786471,0.0423442153500894,0.05,2025-10-01
Portfolio 3,B-KVE4NM,Company_B_22,Industry B,North America,Mid,8331563.841794094,0.448622896022981,0.0287784188073835,0.05,2025-07-09
Portfolio 3,B-MUVZTX,Company_B_11,Industry B,North America,Mid,23049060.348269023,0.5619171116975393,0.0326251906128119,0.0,2025-09-10
Portfolio 3,B-O2NB6I,Company_B_30,Industry B,Europe,Mid,7514761.7420182,0.4559347578430257,0.0352247537177965,0.0,2025-04-02
Portfolio 3,B-PL1YFZ,Company_B_16,Industry B,South America,Small,31587506.83072381,0.5099477473015739,0.0343972954372526,0.0,2025-04-23
Portfolio 3,B-QF30BG,Company_B_05,Industry B,Europe,,44545460.63054388,0.5803585019378602,0.0470453888181618,0.1,2025-07-30
Portfolio 3,B-QFZFP4,Company_B_17,Industry B,South America,Large,21855705.622211523,0.4029850480348587,0.028786130409998,0.05,2025-04-02
Portfolio 3,B-TB1OZ6,Company_B_31,Industry B,North America,,22471797.889777817,0.3959413947487566,0.0181105376834935,0.0,2025-08-20
Portfolio 3,B-TWSM8S,Company_B_12,Industry B,South America,Mid,20770176.226030856,0.5091520178173208,0.0390654396673085,0.05,2025-01-01
Portfolio 3,B-TZJXP7,Company_B_08,Industry B,Europe,Mid,30813029.8054204,0.4868862469796655,0.037441431258324,0.05,2025-05-07
Portfolio 3,B-VQT2JW,Company_B_07,Industry B,South America,Mid,10857774.987546274,0.5361921853928844,0.0442446315886971,0.05,2025-05-21
Portfolio 3,B-WMAEKB,Company_B_27,Industry B,North America,,26069893.72346353,0.4479411587144589,0.0406882090142755,0.05,2025-04-16
Portfolio 3,B-WWOGAM,Company_B_23,Industry B,Asia,,22471797.889777817,0.4840351692577983,0.030429586987347,0.05,2025-07-16
Portfolio 3,B-ZWRIDU,Company_B_46,Industry B,Europe,Large,37937669.966764405,0.493086206527386,0.0356932437470504,0.05,2025-03-12
