entity_code,entity_name,industry,EAD,EAD_fill_note,base_pd_hint,base_pd_hint_note,rho_final,n_obs,reason,lgd,lgd_fill_note,threshold
B-IOC2XD,Company_B_28,B,26616888.34963844,EAD missing; filled by size_bucket average,0.0387879212756317,original base_pd_hint available,0.3367225494839896,30,rho estimated successfully,0.4363384716897764,original lgd available,-1.7649281464616418
B-J2ILS4,Company_B_13,B,31923490.34543775,original EAD available,0.039659096654194,original base_pd_hint available,0.8338531393503555,22,rho estimated successfully,0.5612485910550065,original lgd available,-1.7546558431222414
B-JI444W,Company_B_20,B,12592064.298202593,original EAD available,0.0338857059003395,original base_pd_hint available,0.5739857742469835,72,rho estimated successfully,0.4746622431051985,original lgd available,-1.8265237190387955
B-JRBLOP,Company_B_43,B,16418342.675741987,original EAD available,0.0343267474415366,original base_pd_hint available,0.6027284293857075,29,rho estimated successfully,0.397771971835267,original lgd available,-1.8206932759146208
B-JS2LBB,Company_B_41,B,21391218.714301582,original EAD available,0.0423442153500894,original base_pd_hint available,0.7640528586505416,21,rho estimated successfully,0.4943045458786471,original lgd available,-1.7241075426294237
B-KVE4NM,Company_B_22,B,8331563.841794094,original EAD available,0.0287784188073835,original base_pd_hint available,0.6090661828465465,40,rho estimated successfully,0.448622896022981,original lgd available,-1.8990580980302427
B-MUVZTX,Company_B_11,B,23049060.348269023,original EAD available,0.0326251906128119,original base_pd_hint available,0.6143791053200791,19,rho estimated successfully,0.5619171116975393,original lgd available,-1.8435388063572058
B-O2NB6I,Company_B_30,B,7514761.7420182,original EAD available,0.0352247537177965,original base_pd_hint available,0.6284535633077019,65,rho estimated successfully,0.4559347578430257,original lgd available,-1.8090096290176954
B-PL1YFZ,Company_B_16,B,31587506.83072381,original EAD available,0.0343972954372526,original base_pd_hint available,0.6973449026504682,54,rho estimated successfully,0.5099477473015739,original lgd available,-1.8197663718919486
B-QF30BG,Company_B_05,B,22272730.31527194,original EAD available,0.0470453888181618,original base_pd_hint available,0.646083036962947,74,rho estimated successfully,0.5803585019378602,original lgd available,-1.674202656286683
B-QFZFP4,Company_B_17,B,21855705.622211523,original EAD available,0.028786130409998,original base_pd_hint available,0.3751838037320207,68,rho estimated successfully,0.4029850480348587,original lgd available,-1.8989407945988885
B-TWSM8S,Company_B_12,B,20770176.226030856,original EAD available,0.0390654396673085,original base_pd_hint available,0.4536881254813292,80,rho estimated successfully,0.5091520178173208,original lgd available,-1.7616356337322585
B-TZJXP7,Company_B_08,B,30813029.8054204,original EAD available,0.037441431258324,original base_pd_hint available,0.5532829778511404,55,rho estimated successfully,0.4868862469796655,original lgd available,-1.7811811471284935
B-VQT2JW,Company_B_07,B,10857774.987546274,original EAD available,0.0442446315886971,original base_pd_hint available,0.3874498789809708,52,rho estimated successfully,0.5361921853928844,original lgd available,-1.7034212531155615
B-WMAEKB,Company_B_27,B,26069893.72346353,original EAD available,0.0406882090142755,original base_pd_hint available,0.486580531084418,55,rho estimated successfully,0.4479411587144589,original lgd available,-1.742755010475586
B-ZWRIDU,Company_B_46,B,37937669.966764405,original EAD available,0.0356932437470504,original base_pd_hint available,0.5413767749449965,61,rho estimated successfully,0.490798396967228,lgd missing; filled by industry average,-1.8030109978256679
