entity_code,entity_name,region,lgd,base_pd_hint,size_bucket,analyst_note,region_note,irrelevant_score,industry_norm,lgd_imputed,pd_imputed
A-0E88G2,Company_A_43,Asia,0.5010027048718158,0.0165053478571062,Large,manual review,core,32,Industry A,0,0
A-ZVBDSW,Company_A_44,Europe,0.5424249628885357,0.0230438073611222,Mid,watchlist,legacy,57,Industry A,0,0
A-0172SR,Company_A_45,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,Industry A,0,0
A-RX0P71,Company_A_46,Europe,0.5354777244791231,0.0211643901006858,Large,manual review,legacy,34,Industry A,0,0
A-2NTLLF,Company_A_47,South America,0.5299859397528236,0.0147073195901079,,watchlist,core,75,Industry A,0,0
A-GT87M2,Company_A_48,North America,0.46010643814755675,0.0266448029521849,Mid,stable,,95,Industry A,1,0
A-PEJ45W,Company_A_49,Europe,0.46010643814755675,0.0177115028452158,Small,watchlist,core,50,Industry A,1,0
A-03PK8Q,Company_A_50,Asia,0.4851709284813595,0.0226209392140638,Large,stable,legacy,19,Industry A,0,0
B-O9B5YK,Company_B_01,South America,0.570195362622127,0.0359676900244107,Small,,legacy,90,Industry B,0,0
B-5BIIQF,Company_B_02,South America,0.48774817361894096,0.034891655172616075,Mid,,,13,Industry B,1,1
B-AAFB3V,Company_B_03,South America,0.3517814602557179,0.0186646871610618,Small,,legacy,82,Industry B,0,0
B-87E14Z,Company_B_04,South America,0.493086206527386,0.0444751012269857,Mid,,core,86,Industry B,0,0
B-QF30BG,Company_B_05,Europe,0.5803585019378602,0.0470453888181618,,stable,legacy,14,Industry B,0,0
B-CWABH5,Company_B_06,Asia,0.5928296991568485,0.0307649950103388,Small,manual review,satellite,98,Industry B,0,0
B-VQT2JW,Company_B_07,South America,0.5361921853928844,0.0442446315886971,Mid,manual review,satellite,62,Industry B,0,0
B-TZJXP7,Company_B_08,Europe,0.4868862469796655,0.037441431258324,Mid,watchlist,core,20,Industry B,0,0
B-9E8KDK,Company_B_09,North America,0.5333070372618255,0.034818960064323,Mid,stable,core,46,Industry B,0,0
B-4H8VVL,Company_B_10,,0.4706808413351238,0.0485606181370066,Small,watchlist,core,61,Industry B,0,0
B-MUVZTX,Company_B_11,North America,0.5619171116975393,0.0326251906128119,Mid,manual review,core,48,Industry B,0,0
B-TWSM8S,Company_B_12,South America,0.5091520178173208,0.0390654396673085,Mid,manual review,legacy,56,Industry B,0,0
B-J2ILS4,Company_B_13,Asia,0.5612485910550065,0.039659096654194,Large,stable,,15,Industry B,0,0
B-CKUMRG,Company_B_14,North America,0.3168593915784876,0.0326507484231694,Large,stable,legacy,87,Industry B,0,0
B-ONZFIV,Company_B_15,North America,0.2035471162158348,0.0311955314444715,Large,watchlist,satellite,79,Industry B,0,0
B-PL1YFZ,Company_B_16,South America,0.5099477473015739,0.0343972954372526,Small,stable,,57,Industry B,0,0
B-QFZFP4,Company_B_17,South America,0.4029850480348587,0.028786130409998,Large,,legacy,22,Industry B,0,0
B-SQ4OLC,Company_B_18,South America,0.5258228823322695,0.0459530261516893,Small,,satellite,26,Industry B,0,0
B-I67BWI,Company_B_19,Europe,0.4461228682382256,0.0430346886251349,Mid,stable,core,17,Industry B,0,0
B-JI444W,Company_B_20,North America,0.4746622431051985,0.0338857059003395,Small,manual review,legacy,42,Industry B,0,0
B-0T5M74,Company_B_21,Asia,0.5296418000808659,0.0492455131191174,Mid,stable,satellite,91,Industry B,0,0
B-KVE4NM,Company_B_22,North America,0.448622896022981,0.0287784188073835,Mid,stable,,92,Industry B,0,0
B-WWOGAM,Company_B_23,Asia,0.4840351692577983,0.030429586987347,,watchlist,satellite,37,Industry B,0,0
B-FVUAOK,Company_B_24,Europe,0.5189843392837443,0.0248162426031954,Mid,manual review,,52,Industry B,0,0
B-91X6SZ,Company_B_25,Asia,0.470622107984787,0.0274950688500119,Small,,legacy,75,Industry B,0,0
B-3PXT8X,Company_B_26,Asia,0.3777625687460096,0.0367432528561486,Mid,,,77,Industry B,0,0
B-WMAEKB,Company_B_27,North America,0.4479411587144589,0.0406882090142755,,,satellite,98,Industry B,0,0
B-IOC2XD,Company_B_28,Europe,0.4363384716897764,0.0387879212756317,Large,manual review,core,13,Industry B,0,0
B-BN8BND,Company_B_29,South America,0.357626556460094,0.0381242550328014,Large,manual review,legacy,76,Industry B,0,0
B-O2NB6I,Company_B_30,Europe,0.4559347578430257,0.0352247537177965,Mid,manual review,satellite,70,Industry B,0,0
B-TB1OZ6,Company_B_31,North America,0.3959413947487566,0.0181105376834935,,manual review,,86,Industry B,0,0
B-6KZVQO,Company_B_32,Europe,0.4810076158977743,0.027206283706547,Small,stable,legacy,40,Industry B,0,0
B-QZP3T9,Company_B_33,North America,0.4662674837931494,0.0340059774991473,Mid,stable,core,99,Industry B,0,0
B-4Z0VCO,Company_B_34,Asia,0.6847825012956046,0.0337807908633653,Mid,,core,16,Industry B,0,0
B-MHTAKQ,Company_B_35,South America,0.6212518836831601,0.0327334580699937,,manual review,,77,Industry B,0,0
B-ST9KM6,Company_B_36,Asia,0.3384341660679322,0.0383744678486786,Mid,watchlist,,76,Industry B,0,0
B-HVWXAK,Company_B_37,South America,0.5835807896314338,0.037445454357923,Large,watchlist,core,35,Industry B,0,0
B-CUJ2V2,Company_B_38,North America,0.5625085201248153,0.0437620750599563,Mid,stable,satellite,83,Industry B,0,0
B-Y6J2QG,Company_B_39,Europe,0.6498374440296733,0.0317881165479549,Large,manual review,,56,Industry B,0,0
B-7PFB78,Company_B_40,North America,0.4217583666038554,0.0187575079132969,Small,watchlist,,50,Industry B,0,0
B-JS2LBB,Company_B_41,South America,0.4943045458786471,0.0423442153500894,Mid,watchlist,satellite,28,Industry B,0,0
B-9KROIO,Company_B_42,,0.5701663648089567,0.0277544532017155,Small,watchlist,core,55,Industry B,0,0
B-JRBLOP,Company_B_43,North America,0.397771971835267,0.0343267474415366,Mid,,legacy,31,Industry B,0,0
B-6R5YMI,Company_B_44,North America,0.5767317240461227,0.0270188735661163,Mid,stable,,74,Industry B,0,0
B-GFVBLE,Company_B_45,Europe,0.515811908490511,0.0404443717235944,Small,,core,19,Industry B,0,0
B-ZWRIDU,Company_B_46,Europe,0.48774817361894096,0.0356932437470504,Large,manual review,legacy,65,Industry B,1,0
B-QF6194,Company_B_47,Asia,0.48774817361894096,0.0278945246598982,Mid,stable,,98,Industry B,1,0
B-CN03FL,Company_B_48,North America,0.5442545624204053,0.0437476568693064,Mid,,legacy,38,Industry B,0,0
B-3C5B0M,Company_B_49,Asia,0.4443808041150874,0.0260411132965198,Mid,watchlist,satellite,76,Industry B,0,0
B-3LE6FV,Company_B_50,Europe,0.5202797276897779,0.034891655172616075,Small,watchlist,,55,Industry B,0,1
