entity_code,EAD,booking_date,internal_comment,ead_missing_flag,entity_name,industry,region,size_bucket,lgd,pd,lgd_missing_flag,pd_missing_flag,historical_pd,default_obs_count,return_correlation,rho,return_obs_count,weight
B-MUVZTX,30493123.80112432,2025-01-01,,0,Company_B_11,Industry B,North America,Mid,0.5619171116975393,0.0326251906128119,0,0,0.0,19,0.5609129438852943,0.5609129438852943,753.0,0.039780854082452154
B-J2ILS4,30078345.04109097,2025-09-24,legacy,1,Company_B_13,Industry B,asia,Large,0.5612485910550065,0.039659096654194,0,0,0.05,20,0.566365211499863,0.566365211499863,744.0,0.03923974017634658
B-SQ4OLC,35683734.8563096,2025-10-29,legacy,0,Company_B_18,Industry B,South America,Small,0.5258228823322695,0.0459530261516893,0,0,0.0,19,0.5907349587804656,0.5907349587804656,747.0,0.04655244437053786
B-TB1OZ6,23461017.052539565,2025-12-03,,0,Company_B_31,Industry B,North America,,0.3959413947487566,0.0181105376834935,0,0,0.0,19,0.5736180228087542,0.5736180228087542,748.0,0.03060687721205481
B-JRBLOP,31066982.473586395,2025-02-26,legacy,0,Company_B_43,Industry B,North America,Mid,0.397771971835267,0.0343267474415366,0,0,0.0,20,0.5454618055387,0.5454618055387,738.0,0.040529501163087484
B-CWABH5,33717708.035051145,2025-12-31,legacy,0,Company_B_06,Industry B,Asia,Small,0.5928296991568485,0.0307649950103388,0,0,0.05263157894736842,19,0.515903103473609,0.515903103473609,747.0,0.04398759641961109
B-WWOGAM,31227350.15946521,2025-05-21,legacy,0,Company_B_23,Industry B,Asia,,0.4840351692577983,0.030429586987347,0,0,0.05263157894736842,19,0.5405935863539864,0.5405935863539864,740.0,0.04073871434679057
B-VQT2JW,15074920.661685389,2025-05-07,,0,Company_B_07,Industry B,South America,Mid,0.5361921853928844,0.0442446315886971,0,0,0.05263157894736842,19,0.5469711687246599,0.5469711687246599,741.0,0.019666506555977646
B-TWSM8S,9124536.531704089,2025-05-07,legacy,0,Company_B_12,Industry B,South America,Mid,0.5091520178173208,0.0390654396673085,0,0,0.05,20,0.5397985191621218,0.5397985191621218,749.0,0.011903728155406
B-QF6194,13341848.527672105,2025-08-20,,0,Company_B_47,Industry B,Asia,Mid,0.5033847437546465,0.0278945246598982,1,0,0.05555555555555555,18,0.5716550952750757,0.5716550952750757,748.0,0.017405567659484387
B-HVWXAK,22600622.79431236,2025-08-27,,0,Company_B_37,Industry B,South America,Large,0.5835807896314338,0.037445454357923,0,0,0.05263157894736842,19,0.5517786312613373,0.5517786312613373,741.0,0.029484420271823124
B-JS2LBB,22684692.280258358,2025-06-25,check formatting,0,Company_B_41,Industry B,South America,Mid,0.4943045458786471,0.0423442153500894,0,0,0.05263157894736842,19,0.5528963427914467,0.5528963427914467,751.0,0.029594096012984187
B-Y6J2QG,25392552.226008814,2025-01-22,check formatting,0,Company_B_39,Industry B,europe,Large,0.6498374440296733,0.0317881165479549,0,0,0.0,19,0.5622009547790617,0.5622009547790617,743.0,0.03312672789682037
B-3C5B0M,18828564.31417618,2025-12-31,,0,Company_B_49,Industry B,Asia,Mid,0.4443808041150874,0.0260411132965198,0,0,0.0,19,0.5565151245023826,0.5565151245023826,749.0,0.024563451565322775
B-ST9KM6,32541198.350750968,2025-03-19,review,0,Company_B_36,Industry B,Asia,Mid,0.3384341660679322,0.0383744678486786,0,0,0.05,20,0.5546741800493282,0.5546741800493282,753.0,0.04245274022111262
B-IOC2XD,36960381.26215227,2025-01-29,legacy,0,Company_B_28,Industry B,Europe,Large,0.4363384716897764,0.0387879212756317,0,0,0.05,20,0.5523848760229421,0.5523848760229421,735.0,0.048217937375352335
