entity_code,ead,booking_date,internal_comment,portfolio_id,entity_name,industry,region,lgd,base_pd_hint,size_bucket,analyst_note,region_note,irrelevant_score,mean_return,volatility,baseline_pd
A-C36F0G,31619110.795545343,2025-10-01T00:00:00.000000000,check formatting,Portfolio_1,Company_A_25,INDUSTRY A,Asia,0.361436345436521,0.0155263649052208,Large,manual review,satellite,97.0,0.2007848090003713,0.3251717672823654,0.0295
A-UQSUBF,29785514.38449223,2025-03-05T00:00:00.000000000,check formatting,Portfolio_1,Company_A_08,INDUSTRY A,europe,0.3807335107445405,0.0248413917729574,Mid,watchlist,core,78.0,0.2192196750789793,0.33387572346291733,0.0295
A-RX0P71,11131319.874960128,2025-04-23T00:00:00.000000000,check formatting,Portfolio_1,Company_A_46,INDUSTRY_A,Europe,0.5354777244791231,0.0211643901006858,Large,manual review,legacy,34.0,0.2995492325392773,0.312992876482225,0.0295
A-TR3J8L,24258389.216789015,2025-03-05T00:00:00.000000000,review,Portfolio_1,Company_A_19,INDUSTRY_A,North America,0.4010322560752153,0.019296045567918,Large,manual review,core,90.0,0.060800842143376416,0.31466380554500084,0.0295
A-Y21HNQ,21744172.413033728,2025-04-09T00:00:00.000000000,N/A,Portfolio_1,Company_A_04,INDUSTRY A,Asia,0.483018608927679,0.0221541050150394,Mid,watchlist,satellite,97.0,0.10783138416285411,0.32845085055282125,0.0295
A-VZS47E,10159908.371995503,2025-05-14T00:00:00.000000000,legacy,Portfolio_1,Company_A_42,INDUSTRY_A,South America,0.5100695190985008,0.029103230788234,Small,manual review,legacy,94.0,0.28640786878832536,0.3091480142900048,0.0295
A-QIMT1V,24258389.216789015,2025-02-12T00:00:00.000000000,review,Portfolio_1,Company_A_31,INDUSTRY A,SouthAmerica,0.6268833568473738,0.0173528028631696,Mid,N/A,N/A,48.0,-0.1484485698579707,0.32602831977870106,0.0295
A-FVDXWD,15791662.138349548,2025-01-01T00:00:00.000000000,N/A,Portfolio_1,Company_A_16,INDUSTRY A,SouthAmerica,0.4675997347177412,0.0267959378762021,Small,stable,legacy,23.0,0.4084567512343187,0.3375125200738747,0.0295
A-W69IIB,9454666.941516371,2025-06-11T00:00:00.000000000,new,Portfolio_1,Company_A_21,INDUSTRY_A,Europe,0.6202775785948131,,Large,manual review,N/A,38.0,0.19531551807284653,0.32846289396224354,0.0295
A-ZVBDSW,24258389.216789015,2025-09-17T00:00:00.000000000,N/A,Portfolio_1,Company_A_44,INDUSTRY A,Europe,0.5424249628885357,0.0230438073611222,Mid,watchlist,legacy,57.0,-0.22518624531900458,0.3122465499486152,0.0295
A-IJCFPR,29675986.878346752,2025-04-23T00:00:00.000000000,new,Portfolio_1,Company_A_39,INDUSTRY A,Europe,0.5881880171331348,0.0123306929754193,Mid,stable,legacy,39.0,-0.08186090538671244,0.3409285949294638,0.0295
A-0172SR,7447607.101690142,2025-11-12T00:00:00.000000000,review,Portfolio_1,Company_A_45,INDUSTRY A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17.0,-0.006233921126803667,0.3210482387240176,0.0295
A-PNGYIK,21839308.56171024,2025-05-14T00:00:00.000000000,review,Portfolio_1,Company_A_40,INDUSTRY_A,South America,0.4966124193590165,0.0286615580270497,Small,N/A,satellite,58.0,-0.07802083159992304,0.31171448283377123,0.0295
A-9XOOP3,32377391.834372822,2025-11-26T00:00:00.000000000,review,Portfolio_1,Company_A_11,INDUSTRY_A,Asia,0.4209556922747943,0.0180913105300083,Mid,watchlist,legacy,51.0,0.08174705560096772,0.31717538357783825,0.0295
A-03PK8Q,31179654.51333564,2025-03-26T00:00:00.000000000,review,Portfolio_1,Company_A_50,INDUSTRY A,Asia,0.4851709284813595,0.0226209392140638,Large,stable,legacy,19.0,0.06836885948360644,0.32258340886334747,0.0295
A-RSPF7A,33527558.367656395,2025-07-16T00:00:00.000000000,review,Portfolio_1,Company_A_26,INDUSTRY A,Europe,0.4572467925521397,0.0232196939663842,Small,watchlist,satellite,55.0,-0.026131513284128598,0.3249150270838196,0.0295
A-FKUFQE,20688422.160971247,2025-10-08T00:00:00.000000000,N/A,Portfolio_1,Company_A_34,INDUSTRY A,NorthAmerica,0.4286890007992836,0.0211608494481312,Small,watchlist,satellite,63.0,0.11250044993611319,0.3164583853933885,0.0295
A-FKUFQE,20688422.160971247,2025-10-08T00:00:00.000000000,N/A,Portfolio_1,Company_A_34,INDUSTRY A,NorthAmerica,0.4286890007992836,0.0211608494481312,Small,watchlist,satellite,63.0,0.11250044993611319,0.3164583853933885,0.0295
A-O7YD44,33719497.892395124,2025-01-22T00:00:00.000000000,review,Portfolio_1,Company_A_37,INDUSTRY A,South America,0.3611655452468417,0.0176423759627502,Large,N/A,legacy,67.0,-0.05061115783889337,0.32141270427531204,0.0295
A-DT5C43,13426357.492499432,2025-12-10T00:00:00.000000000,review,Portfolio_1,Company_A_03,INDUSTRY A,Asia,0.4352110109163791,0.0165953522779802,Large,manual review,satellite,90.0,-0.09311333051632151,0.3286575057302703,0.0295
A-H8WKWS,36314076.04037352,2025-03-05T00:00:00.000000000,N/A,Portfolio_1,Company_A_22,INDUSTRY A,South America,0.3976169843656488,0.0222303610074104,Small,stable,satellite,49.0,0.08241769507704148,0.32260691164296496,0.0295
B-CUJ2V2,32401684.59601034,2025-10-22T00:00:00.000000000,review,Portfolio_2,Company_B_38,INDUSTRY_B,North America,0.5625085201248153,0.0437620750599563,Mid,stable,satellite,83.0,0.07358046365128397,0.4080975311210498,0.0295
B-FVUAOK,12382703.597104952,2025-04-02T00:00:00.000000000,review,Portfolio_2,Company_B_24,INDUSTRY B,Europe,0.5189843392837443,0.0248162426031954,Mid,manual review,N/A,52.0,0.3260749551462909,0.415752821975959,0.0295
BWMAEKB,37108845.62431498,2025-10-15T00:00:00.000000000,N/A,Portfolio_2,N/A,,N/A,0.45,,N/A,N/A,N/A,,2.8565518892397903,0.4300700270224597,0.0295
B-0T5M74,34784899.20182575,2025-10-01T00:00:00.000000000,check formatting,Portfolio_2,Company_B_21,INDUSTRY B,Asia,0.5296418000808659,0.0492455131191174,Mid,stable,satellite,91.0,0.4169272967486366,0.4327876892151579,0.0295
B-O2NB6I,34693326.39213783,2025-04-16T00:00:00.000000000,new,Portfolio_2,Company_B_30,INDUSTRY_B,Europe,0.4559347578430257,0.0352247537177965,Mid,manual review,satellite,70.0,0.14085820188977297,0.4310087367304188,0.0295
B-5BIIQF,12968140.137972496,2025-09-03T00:00:00.000000000,legacy,Portfolio_2,Company_B_02,INDUSTRY B,South America,0.470622107984787,,Mid,N/A,N/A,13.0,-0.08783273565410053,0.42048296069282826,0.0295
B-KVE4NM,6768759.60275202,2025-04-02T00:00:00.000000000,review,Portfolio_2,Company_B_22,INDUSTRY B,North America,0.448622896022981,0.0287784188073835,Mid,stable,N/A,92.0,0.20074053275374748,0.44161258868187353,0.0295
B-CKUMRG,35359823.88189043,2025-07-09T00:00:00.000000000,N/A,Portfolio_2,Company_B_14,INDUSTRY B,NorthAmerica,0.3168593915784876,0.0326507484231694,Large,stable,legacy,87.0,0.017223636310523788,0.4208401394502315,0.0295
B-MHTAKQ,15703008.00584986,2025-10-22T00:00:00.000000000,N/A,Portfolio_2,Company_B_35,INDUSTRY B,South America,0.6212518836831601,0.0327334580699937,N/A,manual review,N/A,77.0,0.2112964305485654,0.4148857766602816,0.0295
B-MHTAKQ,15703008.00584986,2025-10-22T00:00:00.000000000,N/A,Portfolio_2,Company_B_35,INDUSTRY B,South America,0.6212518836831601,0.0327334580699937,N/A,manual review,N/A,77.0,0.2112964305485654,0.4148857766602816,0.0295
B-9KROIO,26662073.341073405,2025-03-05T00:00:00.000000000,legacy,Portfolio_2,Company_B_42,INDUSTRY B,N/A,0.5701663648089567,0.0277544532017155,Small,watchlist,core,55.0,0.2516109063949809,0.41326796198358323,0.0295
B-6KZVQO,31598840.92952555,2025-04-30T00:00:00.000000000,N/A,Portfolio_2,Company_B_32,INDUSTRY B,Europe,0.4810076158977743,0.027206283706547,Small,stable,legacy,40.0,-0.004098381090908593,0.4283455220389716,0.0295
B-4Z0VCO,9490264.047889208,2025-10-22T00:00:00.000000000,check formatting,Portfolio_2,Company_B_34,INDUSTRY_B,Asia,0.6847825012956046,0.0337807908633653,Mid,N/A,core,16.0,0.06381462676238508,0.4171387889438828,0.0295
B-JI444W,32329342.408166677,2025-06-18T00:00:00.000000000,review,Portfolio_2,Company_B_20,INDUSTRY B,North America,0.4746622431051985,0.0338857059003395,Small,manual review,legacy,42.0,0.19316880104026682,0.4214331362391566,0.0295
B-91X6SZ,24258389.216789015,2025-12-17T00:00:00.000000000,check formatting,Portfolio_2,Company_B_25,INDUSTRY B,Asia,0.470622107984787,0.0274950688500119,Small,N/A,legacy,75.0,0.37679662699107475,0.40751370350739186,0.0295
B-MUVZTX,30493123.801124316,2025-01-01T00:00:00.000000000,N/A,Portfolio_2,Company_B_11,INDUSTRY_B,North America,0.5619171116975393,0.0326251906128119,Mid,manual review,core,48.0,0.516328613379882,0.4116064151109618,0.0295
B-J2ILS4,24258389.216789015,2025-09-24T00:00:00.000000000,legacy,Portfolio_2,Company_B_13,INDUSTRY B,asia,0.5612485910550065,0.039659096654194,Large,stable,N/A,15.0,0.3678803017681286,0.41791670982004325,0.0295
BSQ4OLC,35683734.8563096,2025-10-29T00:00:00.000000000,legacy,Portfolio_2,N/A,,N/A,0.45,,N/A,N/A,N/A,,-1.5627717595388968,0.3372513605819399,0.0295
B-TB1OZ6,23461017.052539565,2025-12-03T00:00:00.000000000,N/A,Portfolio_2,Company_B_31,INDUSTRY B,North America,0.3959413947487566,0.0181105376834935,N/A,manual review,N/A,86.0,-0.12004767117960646,0.4319076672278345,0.0295
B-TB1OZ6,23461017.052539565,2025-12-03T00:00:00.000000000,N/A,Portfolio_2,Company_B_31,INDUSTRY B,North America,0.3959413947487566,0.0181105376834935,N/A,manual review,N/A,86.0,-0.12004767117960646,0.4319076672278345,0.0295
B-JRBLOP,31066982.473586395,2025-02-26T00:00:00.000000000,legacy,Portfolio_2,Company_B_43,INDUSTRY_B,North America,0.397771971835267,0.0343267474415366,Mid,N/A,legacy,31.0,0.2501322766608677,0.43624329988290406,0.0295
B-CWABH5,33717708.035051145,2025-12-31T00:00:00.000000000,legacy,Portfolio_2,Company_B_06,INDUSTRY_B,Asia,0.5928296991568485,0.0307649950103388,Small,manual review,satellite,98.0,0.328492232261147,0.42120030885025805,0.0295
B-WWOGAM,31227350.15946521,2025-05-21T00:00:00.000000000,legacy,Portfolio_2,Company_B_23,INDUSTRY B,Asia,0.4840351692577983,0.030429586987347,N/A,watchlist,satellite,37.0,-0.11838038959782003,0.42386171893262065,0.0295
B-VQT2JW,15074920.661685389,2025-05-07T00:00:00.000000000,N/A,Portfolio_2,Company_B_07,INDUSTRY B,South America,0.5361921853928844,0.0442446315886971,Mid,manual review,satellite,62.0,0.5146361621872901,0.4128575782018395,0.0295
B-TWSM8S,9124536.531704089,2025-05-07T00:00:00.000000000,legacy,Portfolio_2,Company_B_12,INDUSTRY B,South America,0.5091520178173208,0.0390654396673085,Mid,manual review,legacy,56.0,-0.12233338946814595,0.4100445492207662,0.0295
B-QF6194,13341848.527672105,2025-08-20T00:00:00.000000000,N/A,Portfolio_2,Company_B_47,INDUSTRY B,Asia,0.470622107984787,0.0278945246598982,Mid,stable,N/A,98.0,0.3019422040735693,0.433691910480814,0.0295
B-HVWXAK,22600622.79431236,2025-08-27T00:00:00.000000000,N/A,Portfolio_2,Company_B_37,INDUSTRY B,South America,0.5835807896314338,0.037445454357923,Large,watchlist,core,35.0,0.07585033238197009,0.43713477407052775,0.0295
BJS2LBB,22684692.280258354,2025-06-25T00:00:00.000000000,check formatting,Portfolio_2,N/A,,N/A,0.45,,N/A,N/A,N/A,,0.7539075431904833,0.5986255277040221,0.0295
BY6J2QG,25392552.226008818,2025-01-22T00:00:00.000000000,check formatting,Portfolio_2,N/A,,N/A,0.45,,N/A,N/A,N/A,,2.9396002721494696,0.5267174850955471,0.0295
B-3C5B0M,18828564.31417618,2025-12-31T00:00:00.000000000,N/A,Portfolio_2,Company_B_49,INDUSTRY_B,Asia,0.4443808041150874,0.0260411132965198,Mid,watchlist,satellite,76.0,-0.06149904917226985,0.4188769370160526,0.0295
B-ST9KM6,32541198.350750968,2025-03-19T00:00:00.000000000,review,Portfolio_2,Company_B_36,INDUSTRY B,Asia,0.3384341660679322,0.0383744678486786,Mid,watchlist,N/A,76.0,0.584142639380257,0.42033830291860225,0.0295
B-IOC2XD,36960381.26215227,2025-01-29T00:00:00.000000000,legacy,Portfolio_2,Company_B_28,INDUSTRY B,Europe,0.4363384716897764,0.0387879212756317,Large,manual review,core,13.0,0.07565012368606648,0.43702423554104575,0.0295
BWMAEKB,37108845.62431498,2025-10-15T00:00:00.000000000,N/A,Portfolio_2,N/A,,N/A,0.45,,N/A,N/A,N/A,,2.8565518892397903,0.4300700270224597,0.0295
