entity_code,entity_name,industry,region,lgd,base_pd_hint
A-QIMT1V,Company_A_31,Industry A,Southamerica,0.6268833568473738,0.0173528028631696
A-EX85JQ,Company_A_32,Industry A,North America,0.3470061934980775,0.0145160721077268
A-5CRVMF,Company_A_33,Industry A,Europe,0.371051433725741,0.0187736107702894
A-FKUFQE,Company_A_34,Industry A,Northamerica,0.4286890007992836,0.0211608494481312
A-SY2O3L,Company_A_35,Industry A,South America,0.4500067514473131,0.019296045567918
A-6IIIXU,Company_A_36,Industry A,Unknown,0.3889554232244186,0.0144379426400829
A-O7YD44,Company_A_37,Industry A,South America,0.3611655452468417,0.0176423759627502
A-W20E3T,Company_A_38,Industry A,Asia,0.5677193578394526,0.0071667077953435
A-IJCFPR,Company_A_39,Industry A,Europe,0.5881880171331348,0.0123306929754193
A-PNGYIK,Company_A_40,Industry A,South America,0.4966124193590165,0.0286615580270497
A-84RXH2,Company_A_41,Industry A,North America,0.4553236652687364,0.0165128808834986
A-VZS47E,Company_A_42,Industry A,South America,0.5100695190985008,0.029103230788234
A-0E88G2,Company_A_43,Industry A,Asia,0.5010027048718158,0.0165053478571062
A-ZVBDSW,Company_A_44,Industry A,Europe,0.5424249628885357,0.0230438073611222
A-0172SR,Company_A_45,Industry A,Europe,0.4027117259847115,0.0229545316139667
A-RX0P71,Company_A_46,Industry A,Europe,0.5354777244791231,0.0211643901006858
A-2NTLLF,Company_A_47,Industry A,South America,0.5299859397528236,0.0147073195901079
A-GT87M2,Company_A_48,Industry A,North America,0.4557703606171095,0.0266448029521849
A-PEJ45W,Company_A_49,Industry A,Europe,0.4557703606171095,0.0177115028452158
A-03PK8Q,Company_A_50,Industry A,Asia,0.4851709284813595,0.0226209392140638
B-O9B5YK,Company_B_01,Industry B,South America,0.570195362622127,0.0359676900244107
B-5BIIQF,Company_B_02,Industry B,South America,0.493086206527386,0.034608127750787795
B-AAFB3V,Company_B_03,Industry B,South America,0.3517814602557179,0.0186646871610618
B-87E14Z,Company_B_04,Industry B,Southamerica,0.493086206527386,0.0444751012269857
B-QF30BG,Company_B_05,Industry B,Europe,0.5803585019378602,0.0470453888181618
B-CWABH5,Company_B_06,Industry B,Asia,0.5928296991568485,0.0307649950103388
B-VQT2JW,Company_B_07,Industry B,South America,0.5361921853928844,0.0442446315886971
B-TZJXP7,Company_B_08,Industry B,Europe,0.4868862469796655,0.037441431258324
B-9E8KDK,Company_B_09,Industry B,Northamerica,0.5333070372618255,0.034818960064323
B-4H8VVL,Company_B_10,Industry B,Unknown,0.4706808413351238,0.0485606181370066
B-MUVZTX,Company_B_11,Industry B,North America,0.5619171116975393,0.0326251906128119
B-TWSM8S,Company_B_12,Industry B,South America,0.5091520178173208,0.0390654396673085
B-J2ILS4,Company_B_13,Industry B,Asia,0.5612485910550065,0.039659096654194
B-CKUMRG,Company_B_14,Industry B,Northamerica,0.3168593915784876,0.0326507484231694
B-ONZFIV,Company_B_15,Industry B,North America,0.2035471162158348,0.0311955314444715
B-PL1YFZ,Company_B_16,Industry B,South America,0.5099477473015739,0.0343972954372526
B-QFZFP4,Company_B_17,Industry B,South America,0.4029850480348587,0.028786130409998
B-SQ4OLC,Company_B_18,Industry B,South America,0.5258228823322695,0.0459530261516893
B-I67BWI,Company_B_19,Industry B,Europe,0.4461228682382256,0.0430346886251349
B-JI444W,Company_B_20,Industry B,North America,0.4746622431051985,0.0338857059003395
B-0T5M74,Company_B_21,Industry B,Asia,0.5296418000808659,0.0492455131191174
B-KVE4NM,Company_B_22,Industry B,North America,0.448622896022981,0.0287784188073835
B-WWOGAM,Company_B_23,Industry B,Asia,0.4840351692577983,0.030429586987347
B-FVUAOK,Company_B_24,Industry B,Europe,0.5189843392837443,0.0248162426031954
B-91X6SZ,Company_B_25,Industry B,Asia,0.470622107984787,0.0274950688500119
B-3PXT8X,Company_B_26,Industry B,Asia,0.3777625687460096,0.0367432528561486
B-WMAEKB,Company_B_27,Industry B,North America,0.4479411587144589,0.0406882090142755
B-IOC2XD,Company_B_28,Industry B,Europe,0.4363384716897764,0.0387879212756317
B-BN8BND,Company_B_29,Industry B,South America,0.357626556460094,0.0381242550328014
B-O2NB6I,Company_B_30,Industry B,Europe,0.4559347578430257,0.0352247537177965
B-TB1OZ6,Company_B_31,Industry B,North America,0.3959413947487566,0.0181105376834935
B-6KZVQO,Company_B_32,Industry B,Europe,0.4810076158977743,0.027206283706547
B-QZP3T9,Company_B_33,Industry B,North America,0.4662674837931494,0.0340059774991473
B-4Z0VCO,Company_B_34,Industry B,Asia,0.6847825012956046,0.0337807908633653
B-MHTAKQ,Company_B_35,Industry B,South America,0.6212518836831601,0.0327334580699937
B-ST9KM6,Company_B_36,Industry B,Asia,0.3384341660679322,0.0383744678486786
B-HVWXAK,Company_B_37,Industry B,South America,0.5835807896314338,0.037445454357923
B-CUJ2V2,Company_B_38,Industry B,North America,0.5625085201248153,0.0437620750599563
B-Y6J2QG,Company_B_39,Industry B,Europe,0.6498374440296733,0.0317881165479549
B-7PFB78,Company_B_40,Industry B,North America,0.4217583666038554,0.0187575079132969
B-JS2LBB,Company_B_41,Industry B,South America,0.4943045458786471,0.0423442153500894
B-9KROIO,Company_B_42,Industry B,Unknown,0.5701663648089567,0.0277544532017155
B-JRBLOP,Company_B_43,Industry B,North America,0.397771971835267,0.0343267474415366
B-6R5YMI,Company_B_44,Industry B,Northamerica,0.5767317240461227,0.0270188735661163
B-GFVBLE,Company_B_45,Industry B,Europe,0.515811908490511,0.0404443717235944
B-ZWRIDU,Company_B_46,Industry B,Europe,0.493086206527386,0.0356932437470504
B-QF6194,Company_B_47,Industry B,Asia,0.493086206527386,0.0278945246598982
B-CN03FL,Company_B_48,Industry B,North America,0.5442545624204053,0.0437476568693064
B-3C5B0M,Company_B_49,Industry B,Asia,0.4443808041150874,0.0260411132965198
B-3LE6FV,Company_B_50,Industry B,Europe,0.5202797276897779,0.034608127750787795
