entity_code,EAD,booking_date,entity_name,industry,region,lgd,base_pd_hint,portfolio,pd_1y,rho,expected_loss_i
A-TR3J8L,22684002.97631515,2025-03-05,Company_A_19,Industry A,North America,0.4010322560752153,0.019296045567918,Portfolio 1,0.019296045567918,0.16572702429555147,175536.4524494433
A-Y21HNQ,21744172.413033728,2025-04-09,Company_A_04,Industry A,Asia,0.483018608927679,0.0221541050150394,Portfolio 1,0.0221541050150394,0.15963793015504843,232681.0183494737
A-VZS47E,10159908.371995503,2025-05-14,Company_A_42,Industry A,South America,0.5100695190985008,0.029103230788234,Portfolio 1,0.029103230788234,0.14800351963065617,150820.4964852758
A-QIMT1V,22684002.97631515,2025-02-12,Company_A_31,Industry A,Southamerica,0.6268833568473738,0.0173528028631696,Portfolio 1,0.0173528028631696,0.17039296588803676,246760.7425712892
A-FVDXWD,15791662.138349548,2025-01-01,Company_A_16,Industry A,Southamerica,0.4675997347177412,0.0267959378762021,Portfolio 1,0.0267959378762021,0.1514278627749147,197865.94887284332
A-W69IIB,9454666.941516371,2025-06-11,Company_A_21,Industry A,Europe,0.6202775785948131,0.019296045567918,Portfolio 1,0.019296045567918,0.16572702429555147,113162.00495845503
A-ZVBDSW,24258389.216789015,2025-09-17,Company_A_44,Industry A,Europe,0.5424249628885357,0.0230438073611222,Portfolio 1,0.0230438073611222,0.157913277279095,303218.61787240615
A-IJCFPR,29675986.878346752,2025-04-23,Company_A_39,Industry A,Europe,0.5881880171331348,0.0123306929754193,Portfolio 1,0.0123306929754193,0.18477742052911167,215232.98422864903
A-0172SR,7447607.101690142,2025-11-12,Company_A_45,Industry A,Europe,0.4027117259847115,0.0229545316139667,Portfolio 1,0.0229545316139667,0.15808289236811301,68846.11979519608
A-PNGYIK,21839308.56171024,2025-05-14,Company_A_40,Industry A,South America,0.4966124193590165,0.0286615580270497,Portfolio 1,0.0286615580270497,0.14862881824439858,310853.8534138782
A-9XOOP3,32377391.834372822,2025-11-26,Company_A_11,Industry A,Asia,0.4209556922747943,0.0180913105300083,Portfolio 1,0.0180913105300083,0.16856612232230667,246574.56515167045
A-03PK8Q,31179654.51333564,2025-03-26,Company_A_50,Industry A,Asia,0.4851709284813595,0.0226209392140638,Portfolio 1,0.0226209392140638,0.1587234276333452,342197.39678075875
A-RSPF7A,33527558.367656395,2025-07-16,Company_A_26,Industry A,Europe,0.4572467925521397,0.0232196939663842,Portfolio 1,0.0232196939663842,0.15758131722002955,355966.46555900335
A-FKUFQE,20688422.160971247,2025-10-08,Company_A_34,Industry A,Northamerica,0.4286890007992836,0.0211608494481312,Portfolio 1,0.0211608494481312,0.16165616056398163,187673.437023901
A-O7YD44,33719497.892395124,2025-01-22,Company_A_37,Industry A,South America,0.3611655452468417,0.0176423759627502,Portfolio 1,0.0176423759627502,0.16966860009686835,214854.5148852667
A-DT5C43,13426357.492499432,2025-12-10,Company_A_03,Industry A,Asia,0.4352110109163791,0.0165953522779802,Portfolio 1,0.0165953522779802,0.17233807558679826,96971.59901845569
B-CUJ2V2,32401684.59601034,2025-10-22,Company_B_38,Industry B,North America,0.5625085201248153,0.0437620750599563,Portfolio 2,0.0437620750599563,0.13345550061073286,797617.3675031808
B-FVUAOK,12382703.597104952,2025-04-02,Company_B_24,Industry B,Europe,0.5189843392837443,0.0248162426031954,Portfolio 2,0.0248162426031954,0.15469791548334394,159479.827213459
B-WMAEKB,37108845.62431498,2025-10-15,Company_B_27,Industry B,North America,0.4479411587144589,0.0406882090142755,Portfolio 2,0.0406882090142755,0.13569090573646475,676342.981220404
B-0T5M74,34784899.20182575,2025-10-01,Company_B_21,Industry B,Asia,0.5296418000808659,0.0492455131191174,Portfolio 2,0.0492455131191174,0.13022889017541006,907276.5147583686
B-O2NB6I,34693326.39213783,2025-04-16,Company_B_30,Industry B,Europe,0.4559347578430257,0.0352247537177965,Portfolio 2,0.0352247537177965,0.14061984696518415,557181.3981999191
B-5BIIQF,12968140.137972496,2025-09-03,Company_B_02,Industry B,South America,0.493086206527386,0.034608127750787795,Portfolio 2,0.034608127750787795,0.1412654854118507,221298.59369091122
B-KVE4NM,6768759.60275202,2025-04-02,Company_B_22,Industry B,North America,0.448622896022981,0.0287784188073835,Portfolio 2,0.0287784188073835,0.14846202670167774,87389.13752885604
B-CKUMRG,35359823.88189043,2025-07-09,Company_B_14,Industry B,Northamerica,0.3168593915784876,0.0326507484231694,Portfolio 2,0.0326507484231694,0.14345196581924163,365821.9983944803
B-MHTAKQ,15703008.00584986,2025-10-22,Company_B_35,Industry B,South America,0.6212518836831601,0.0327334580699937,Portfolio 2,0.0327334580699937,0.14335518089284272,319332.01299372036
B-9KROIO,26662073.341073405,2025-03-05,Company_B_42,Industry B,Unknown,0.5701663648089567,0.0277544532017155,Portfolio 2,0.0277544532017155,0.14995718161702878,421918.1305848828
B-6KZVQO,31598840.92952555,2025-04-30,Company_B_32,Industry B,Europe,0.4810076158977743,0.027206283706547,Portfolio 2,0.027206283706547,0.1507896180683769,413516.00926049997
B-4Z0VCO,9490264.047889208,2025-10-22,Company_B_34,Industry B,Asia,0.6847825012956046,0.0337807908633653,Portfolio 2,0.0337807908633653,0.1421636198598227,219533.480541714
B-JI444W,32329342.408166677,2025-06-18,Company_B_20,Industry B,North America,0.4746622431051985,0.0338857059003395,Portfolio 2,0.0338857059003395,0.14204765942571534,519993.7161247538
B-91X6SZ,28577598.57109886,2025-12-17,Company_B_25,Industry B,Asia,0.470622107984787,0.0274950688500119,Portfolio 2,0.0274950688500119,0.15034823315868068,369788.0459511207
B-MUVZTX,30493123.801124316,2025-01-01,Company_B_11,Industry B,North America,0.5619171116975393,0.0326251906128119,Portfolio 2,0.0326251906128119,0.14348195402072583,559019.8538037484
B-J2ILS4,28577598.57109886,2025-09-24,Company_B_13,Industry B,Asia,0.5612485910550065,0.039659096654194,Portfolio 2,0.039659096654194,0.13651942415553803,636097.6819060311
B-SQ4OLC,35683734.8563096,2025-10-29,Company_B_18,Industry B,South America,0.5258228823322695,0.0459530261516893,Portfolio 2,0.0459530261516893,0.1320593517188411,862231.5329180036
B-TB1OZ6,23461017.052539565,2025-12-03,Company_B_31,Industry B,North America,0.3959413947487566,0.0181105376834935,Portfolio 2,0.0181105376834935,0.16851945534332644,168232.1859546202
B-JRBLOP,31066982.473586395,2025-02-26,Company_B_43,Industry B,North America,0.397771971835267,0.0343267474415366,Portfolio 2,0.0343267474415366,0.14156678437497477,424195.3518094817
B-CWABH5,33717708.035051145,2025-12-31,Company_B_06,Industry B,Asia,0.5928296991568485,0.0307649950103388,Portfolio 2,0.0307649950103388,0.1457707980474302,614957.1384963704
B-WWOGAM,31227350.15946521,2025-05-21,Company_B_23,Industry B,Asia,0.4840351692577983,0.030429586987347,Portfolio 2,0.030429586987347,0.14620662898384187,459947.3372145352
B-VQT2JW,15074920.661685389,2025-05-07,Company_B_07,Industry B,South America,0.5361921853928844,0.0442446315886971,Portfolio 2,0.0442446315886971,0.1331347338903499,357631.77528697683
B-TWSM8S,9124536.531704089,2025-05-07,Company_B_12,Industry B,South America,0.5091520178173208,0.0390654396673085,Portfolio 2,0.0390654396673085,0.13701711767342678,181489.28933188645
B-QF6194,13341848.527672105,2025-08-20,Company_B_47,Industry B,Asia,0.493086206527386,0.0278945246598982,Portfolio 2,0.0278945246598982,0.14974810729962557,183509.1927336653
B-HVWXAK,22600622.79431236,2025-08-27,Company_B_37,Industry B,South America,0.5835807896314338,0.037445454357923,Portfolio 2,0.037445454357923,0.13845285359432297,493878.930364297
B-JS2LBB,22684692.280258354,2025-06-25,Company_B_41,Industry B,South America,0.4943045458786471,0.0423442153500894,Portfolio 2,0.0423442153500894,0.13444402703720532,474811.8908251834
B-Y6J2QG,25392552.226008818,2025-01-22,Company_B_39,Industry B,Europe,0.6498374440296733,0.0317881165479549,Portfolio 2,0.0317881165479549,0.14448561776997526,524536.704089491
B-3C5B0M,18828564.31417618,2025-12-31,Company_B_49,Industry B,Asia,0.4443808041150874,0.0260411132965198,Portfolio 2,0.0260411132965198,0.15263665613345134,217887.36341941834
B-ST9KM6,32541198.350750968,2025-03-19,Company_B_36,Industry B,Asia,0.3384341660679322,0.0383744678486786,Portfolio 2,0.0383744678486786,0.13761530894435403,422620.0608007552
B-IOC2XD,36960381.26215227,2025-01-29,Company_B_28,Industry B,Europe,0.4363384716897764,0.0387879212756317,Portfolio 2,0.0387879212756317,0.13725489168122326,625541.970950596
